subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Geography,1994,Which of these sets of rivers enter the sea through esturies?,"The Thames, Zaire and Plate","The Plate, Ganges and Columbia","The Nile, Rhine and st. Lawrence","The Zarie, Thames and Niger",A
Geography,1994,Which of the following landforms originates from aeolian erosion?,Wadi,Deflation hollow,Sand dune,Playa,B
Geography,1994,The circulation of ocean currents is?,clockwise both in the north and southern hemispheres,anti-clockwise both in the southern hemispheres,anti-clockwise in the northern hemisphere and clockwise both in the southern hemispheres,clockwise in the northern hemisphere and clockwise both in the southern hemispheres,D
Geography,1994,Seasons are recognized with in the tropics primarily on the basis of?,air masses,temperature,rainfall,evaporation,C
Geography,1994,A major feature of the tropical continental climates is the?,relatively low annual range of temperature,regular and reliable rainfall,excess of evaporation over rainfall,excess of rainfall over evaporation,C
Geography,1994,The most dominant pair of active factors affecting plants growth is?,soil and fauna,climate and soil,climate and topography,topography and man,B
Geography,1994,The major constituents of a typical soil are?,"gravel, sand, silt and clay","mineral matter, organic matter, air and water","stone, mineral matter, pore spaces and micro-organism","calcium, magnesium, potassium amd sodium",B
Geography,1994,"In a humid areas, farmers add lime to the soil to? development",facilitate the absorption of nutrients,encourage the development of green leaves,act as fertilizer,reduce acidity,D
Geography,1994,Which of the following trees is most suitable for pulp and paper production?,Obeche,Ebony,Spruce,Mahogany,C
Geography,1994,"Urban centres are best distinguished from rural, settlements by their?",morphology and location,population and function,site and function,morphology and demography,B
Geography,1994,A sharp decrease in the population of herbivores in an ecosystem is likely to lead to?,an increase in the amount of plant cover,a decrease in the population of rodents,an increase inthe population of rodents,a decrease in the population of saprophytes,A
Geography,1994,The population size of any place is best determined by?,the level of industrialization and the standard of living of the people,natural change and migration,census and vital registeration,its migration and employment indices,B
Geography,1994,A broad-based population pyramid is composed mainly of?,old dependants,young dependants,active inhabitants,more males than females,B
Geography,1994,In which of the following regions is the high population density due to industrial development?,China,The Nile Valley,Java,The Rhur Valley,D
Geography,1994,Which of the following sets of cities has been developed specially as the seat of government?,"Abuja, Chicago and Brasilia","New Delhi, Abuja and Calcutta","Chicago, New Delhi, and Abuja","Canberra, Brasilia and Abuja",D
Geography,1994,Dispersed rural settlements are most likely to be found in areas with?,abundant agriculture land and good surface drainage,limited agricultural land and poor surface drainage,a large agricultural population and restricted accessibility,a small agricultural population and poor surface drainage,A
Geography,1994,The most important factors that have promoted urbanization in Africa during the 20th century are?,"industrial development, decolonization and modern transport development","modern transport development, commerce and industrialization","trade, improved rural conditions and industrialization","decolonization, poor rural conditions and commercialization",C
Geography,1994,Subsistence farming is characterized by?,"dominance of cash crops, low capital input and dependence on simple tools","dominance of food crops, small holdings anfd family labour","Dependence on family labour, small holdings and market orientation","Dependence on simple tools, labour intensity and high capital input",B
Geography,1994,The major areas of mixed farming in the world are also areas of?,sparse population with low arable crop productions,dense population with a high percentage of farms,dense population and a large number of urban centres,sparse population and dispersed rural settlements,C
Geography,1994,Specialized cultivation of grapes is associated with?,Mediterrarean regions,cool temperates climates,montane climates,monsoon regions,A
Geography,1994,Plantation agriculture may be described as a system characterized by?,"small-scale production , heavy mechnanization and industrial crops","heavy mechanization, food importation and subsistence crops","large-scale production, monoculture and centre management","labour specialization, market dependence and poor capital base",C
Geography,1994,A type of industry that is carried on usually at or near the residence and based largely on native skills and simple technology is referred to as a?,local industry,light industry,consumers industry,cottage industry,D
Geography,1994,A major limiting factor to the development of industries in the developing countries is?,low level of capital formation,high population growth rate,shortage of raw materials,unfavorable climates,A
Geography,1994,In which of the following countries have many railway lines been closed down as a result of a decline in their competitiveness?,South Africa,Australia,U.S.A,India,B
Geography,1994,The list of exports from Japan to Nigeria is likely to include?,"motor vehicles, television sets and coal","wrist watches, chemicals and crude oil","motor vehicles, cameras and industrial machines","television sets, iron ore and computers",C
Geography,1994,The main hydrological centre in Nigeria is the?,Jos Plateau,Western Uplands,Biu Plateau,Eastern Highlands,A
Geography,1994,The highest landforms in Nigeria are developed on?,sandstones,granites,basalts,shales,B
Geography,1994,A system of continuous cultivation based on intensive use of manure is widely practiced in the?,Kano close-settled zone,Chad Basin,Niger Valley,Jos area,A
Geography,1994,The veldt is a temperate grassland found in?,South Africa,Australia,South America,Eurasia,A
Geography,1994,An Africa country seeking to reduce unemployment through industrialization will most likely encourage?,capital - intensive industries,technology - intensive industries,small- scale industries,labour - intensive industries,D
Geography,1994,Agricultural productivity is low in Tropical Africa because of?,sparse population and shortage of labour,poor soil and unfavourable climate,low technology and land fragmentation,low demand and lack of credit facilities,C
Geography,1994,The greatest problem facing lumbering in Tropical Africa is that the?,trees are often buttressed at the base,trees do not grow in pure stands,further expansion of saw- mill is not viable,demand is low,B
Geography,1994,Three land-locked countries in West Africa are?,"Republic of Benin, Mauritania and Niger","Togo, Ghana and Chad","Mali, Burkina Faso and Niger","Mali, Chad Senegal",C
Geography,1994,"[Figure required]
If the total population of the city is 500,000. What is the population of ward4?","150,000","125,000","100,000","75,000",D
Geography,1994,"[Figure required]
An alternative graphic method that can be used to depict the same information is the",dot map,proportional circle,divided rectangle,choropeth,D
Geography,1994,"[Figure required]
The area shaded and marked Q is well known for its",oil palm forest,crdue oil,swamp rice,ginger plantation,A
Geography,1994,"[Figure required]
Which important mineral is exploited at the place marked X?",tin ore,iron ore,limestone,gold,B
Geography,1994,"[Figure required]
What climatic type is illustrated in the graph?",Montane,Equatorial,Mediterranean,Monsoon,D
Geography,1994,"[Figure required]
The annual range of temperature as shown in the graph is approximately",4 o C,8 o C,24 o C,28 o C,A
