question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GEO-J00854,JAMB,Geography,,,medium,,,The combined petroleum production of Saudi Arabia and Russia in 2003 in million tonnes is approximately,,600,750,900,1050,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00855,JAMB,Geography,,,medium,,,"If the total production of petroleum is estimated to be 201 million tonnes, what is the approximate percentage of the production by the USA?",,12%,14%,16%,18%,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00856,JAMB,Geography,,,medium,,,The bearing of Olefi from Kosi is,,035 o,085 o,127 o,305 o,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00857,JAMB,Geography,,,medium,,,The length of River Tere from the edge of the map to the confluence with River Epe is approximately,,3.70km,4.70km,5.70km,"6,70km",,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00858,JAMB,Geography,,,medium,,,The likely human activity in the northern part of the map is,,Lumbering,Fishing,Mining,Quarring,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00859,JAMB,Geography,,,medium,,,The second largest settlement on the map is,,Oziza,Tere,Kosi,Pkeku,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00860,JAMB,Geography,,,medium,,,Which of the following towns are not intervisible?,,Epe and Karaga,Oziza and Pheku,Kera and Kosi,Tere and Olefi,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00861,JAMB,Geography,,,medium,,,The processes of landform development illustrated is,,folding,volcanic eruption,faulting,mass movement,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00862,JAMB,Geography,,,medium,,,The slope labelled X is best described as a,,valley slide slope,faultscarp,cuesta,fault-line scarp,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00863,JAMB,Geography,,,medium,,,The location of Sabe town has been influenced mostly by the,,Mineral workings and agriculture,Rivers that pass through the town,Latitude of the area,Mineral workings and transportation,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00864,JAMB,Geography,,,medium,,,The total length of River Yalen from the boundary at Ijer to its confluence with River Ayila is approximately,,8.8km,7.6km,5.7km,3.3km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00865,JAMB,Geography,,,medium,,,The elevation of the point marked Z is approximately,,500m,525m,550m,575m,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00866,JAMB,Geography,,,medium,,,The landform marked S is a,,Col,Spur,Plateau,Knoll,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00867,JAMB,Geography,,,medium,,,Which of the following crops are likely to do well in the south west?,,Cocoa and cassava,Maize and cocoa,Rice and sugar cane,Sugarcane and coffee,,,jamb-archive|needs-key|needs-figure,past-question,draft
